CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker
less_0,29,credits_paid_to_date,furniture,600,500_to_1000,1_to_4,3,male,none,1,real_estate,19,none,own,1,skilled,1,none,yes
no_checking,10,credits_paid_to_date,car_new,2500,100_to_500,less_1,2,female,none,2,real_estate,21,none,own,1,skilled,1,none,yes
less_0,4,credits_paid_to_date,car_new,2000,100_to_500,1_to_4,3,male,none,3,savings_insurance,20,none,rent,1,management_self-employed,1,none,yes
less_0,29,all_credits_paid_back,furniture,3000,less_100,less_1,1,male,none,2,real_estate,45,none,rent,1,skilled,1,none,yes
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,26,stores,rent,1,skilled,1,none,yes
less_0,4,prior_payments_delayed,appliances,2000,500_to_1000,4_to_7,2,male,none,3,car_other,20,stores,own,1,skilled,1,none,yes
no_checking,27,prior_payments_delayed,appliances,6932,100_to_500,4_to_7,5,female,none,4,car_other,35,none,own,1,management_self-employed,1,yes,yes
less_0,31,prior_payments_delayed,appliances,2000,less_100,4_to_7,1,male,none,2,savings_insurance,49,stores,own,1,unskilled,1,none,yes
less_0,21,all_credits_paid_back,car_new,4000,less_100,less_1,1,female,none,2,real_estate,47,none,rent,1,skilled,1,none,yes
less_0,10,credits_paid_to_date,car_used,652,less_100,4_to_7,2,male,none,1,savings_insurance,33,stores,own,1,skilled,1,none,yes
no_checking,41,credits_paid_to_date,appliances,2901,100_to_500,4_to_7,4,female,none,3,savings_insurance,36,none,own,1,skilled,1,none,yes
no_checking,46,outstanding_credit,education,5670,unknown,greater_7,5,male,co-applicant,3,car_other,49,stores,own,2,unskilled,2,yes,yes
0_to_200,26,credits_paid_to_date,retraining,2987,100_to_500,less_1,2,female,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes
less_0,30,all_credits_paid_back,furniture,6000,less_100,less_1,1,female,none,1,car_other,39,bank,own,1,unemployed,1,none,yes
0_to_200,5,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,female,none,1,real_estate,31,stores,rent,1,skilled,1,none,yes
less_0,21,credits_paid_to_date,car_new,1127,less_100,4_to_7,3,male,none,2,savings_insurance,21,none,own,1,skilled,1,yes,yes
less_0,15,prior_payments_delayed,furniture,2746,500_to_1000,greater_7,3,male,none,1,car_other,41,stores,own,2,skilled,1,none,yes
0_to_200,4,prior_payments_delayed,education,2000,500_to_1000,1_to_4,2,male,none,3,car_other,20,none,own,1,management_self-employed,1,none,yes
less_0,16,credits_paid_to_date,radio_tv,3100,less_100,1_to_4,2,male,none,2,real_estate,19,stores,own,1,skilled,1,none,yes
