CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
no_checking,25,prior_payments_delayed,car_used,8708,100_to_500,1_to_4,4,male,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,No Risk
no_checking,37,outstanding_credit,radio_tv,10550,unknown,greater_7,5,male,co-applicant,4,unknown,48,stores,own,2,unemployed,2,yes,yes,Risk
no_checking,27,prior_payments_delayed,radio_tv,4981,500_to_1000,4_to_7,4,male,none,4,savings_insurance,47,none,own,2,management_self-employed,2,yes,yes,No Risk
less_0,13,all_credits_paid_back,car_new,2436,less_100,less_1,2,female,none,1,savings_insurance,19,stores,own,1,skilled,1,none,yes,No Risk
greater_200,25,outstanding_credit,appliances,4136,100_to_500,4_to_7,3,male,none,2,car_other,46,bank,own,1,unemployed,1,yes,yes,No Risk
no_checking,51,outstanding_credit,education,8244,unknown,greater_7,5,male,co-applicant,4,unknown,59,none,free,3,skilled,2,yes,yes,Risk
no_checking,61,outstanding_credit,education,8096,greater_1000,greater_7,5,male,co-applicant,4,car_other,57,none,free,2,skilled,1,yes,yes,Risk
less_0,13,prior_payments_delayed,appliances,250,500_to_1000,4_to_7,2,male,none,3,car_other,28,stores,own,1,skilled,1,none,yes,No Risk
less_0,19,credits_paid_to_date,furniture,2111,less_100,4_to_7,3,male,none,2,savings_insurance,34,bank,own,1,unemployed,2,none,yes,No Risk
no_checking,27,prior_payments_delayed,appliances,6455,100_to_500,4_to_7,3,male,none,4,car_other,43,none,own,1,skilled,1,none,yes,Risk
less_0,17,credits_paid_to_date,car_used,250,less_100,4_to_7,3,female,none,2,real_estate,40,none,free,2,skilled,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,radio_tv,4521,100_to_500,less_1,4,male,none,4,savings_insurance,28,none,own,1,management_self-employed,2,yes,yes,No Risk
no_checking,37,prior_payments_delayed,other,7945,500_to_1000,1_to_4,4,male,none,4,savings_insurance,39,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,6,all_credits_paid_back,car_used,250,less_100,1_to_4,2,male,none,2,savings_insurance,28,stores,rent,1,skilled,1,none,yes,Risk
no_checking,52,outstanding_credit,other,10797,500_to_1000,greater_7,5,male,co-applicant,4,unknown,48,none,free,2,skilled,2,yes,no,Risk
greater_200,5,credits_paid_to_date,car_used,250,less_100,4_to_7,3,male,none,2,savings_insurance,42,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,31,outstanding_credit,furniture,5702,100_to_500,greater_7,3,female,none,4,unknown,47,none,own,2,skilled,1,yes,yes,Risk
less_0,15,credits_paid_to_date,car_new,3012,less_100,1_to_4,2,male,none,1,real_estate,27,none,own,1,skilled,1,none,yes,No Risk
no_checking,36,outstanding_credit,repairs,5673,unknown,greater_7,5,male,none,4,unknown,48,none,own,2,skilled,1,none,yes,Risk
no_checking,26,prior_payments_delayed,education,5740,100_to_500,4_to_7,4,female,none,4,car_other,43,none,own,2,management_self-employed,1,yes,yes,Risk
less_0,13,all_credits_paid_back,car_new,393,less_100,4_to_7,3,male,none,2,real_estate,28,none,own,1,skilled,1,none,yes,No Risk
less_0,13,all_credits_paid_back,car_used,1820,100_to_500,unemployed,2,female,none,3,car_other,28,none,rent,2,skilled,2,none,yes,No Risk
less_0,17,credits_paid_to_date,retraining,2119,less_100,1_to_4,3,female,none,2,savings_insurance,23,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,15,credits_paid_to_date,furniture,3481,500_to_1000,1_to_4,2,male,none,3,car_other,43,none,own,1,skilled,2,yes,yes,No Risk
less_0,20,prior_payments_delayed,radio_tv,1023,100_to_500,greater_7,3,male,none,2,savings_insurance,33,none,rent,2,skilled,1,none,yes,No Risk
0_to_200,26,credits_paid_to_date,retraining,2987,100_to_500,less_1,2,female,none,2,savings_insurance,39,none,own,1,skilled,1,none,yes,No Risk
less_0,20,credits_paid_to_date,car_used,4042,500_to_1000,4_to_7,3,male,co-applicant,2,car_other,40,none,own,1,skilled,1,yes,yes,Risk
0_to_200,30,credits_paid_to_date,education,2875,less_100,1_to_4,2,male,none,3,real_estate,33,none,own,2,skilled,1,yes,yes,No Risk
0_to_200,29,credits_paid_to_date,furniture,2642,less_100,1_to_4,2,female,none,3,savings_insurance,41,none,rent,2,skilled,1,yes,yes,Risk
no_checking,36,outstanding_credit,radio_tv,7689,greater_1000,greater_7,4,male,co-applicant,3,unknown,51,none,free,2,skilled,1,yes,yes,Risk
0_to_200,17,credits_paid_to_date,vacation,6563,less_100,4_to_7,3,female,none,2,car_other,42,bank,own,2,unskilled,2,yes,yes,No Risk
no_checking,28,prior_payments_delayed,car_used,6780,100_to_500,less_1,2,male,none,4,car_other,40,none,own,2,management_self-employed,1,none,yes,No Risk
less_0,9,all_credits_paid_back,appliances,250,100_to_500,less_1,2,female,none,1,savings_insurance,40,none,own,2,skilled,2,yes,yes,No Risk
no_checking,40,prior_payments_delayed,radio_tv,7000,unknown,1_to_4,5,male,co-applicant,5,unknown,44,none,free,3,unskilled,1,yes,yes,Risk
0_to_200,18,credits_paid_to_date,car_new,3689,500_to_1000,unemployed,1,male,none,1,real_estate,36,none,own,1,skilled,2,yes,yes,No Risk
0_to_200,14,prior_payments_delayed,appliances,4902,greater_1000,greater_7,4,male,co-applicant,4,savings_insurance,46,none,own,1,skilled,1,yes,yes,No Risk
less_0,24,credits_paid_to_date,car_used,1380,less_100,4_to_7,2,male,none,1,savings_insurance,30,stores,own,1,skilled,1,none,no,No Risk
no_checking,29,credits_paid_to_date,furniture,7061,100_to_500,1_to_4,3,female,none,4,savings_insurance,38,bank,own,2,unskilled,1,none,yes,No Risk
no_checking,30,prior_payments_delayed,business,5193,100_to_500,4_to_7,4,female,none,5,car_other,46,none,own,3,skilled,2,yes,yes,Risk
less_0,8,all_credits_paid_back,car_new,250,100_to_500,1_to_4,1,male,none,1,savings_insurance,34,stores,rent,1,unskilled,1,none,yes,No Risk
no_checking,30,outstanding_credit,appliances,8256,unknown,greater_7,4,female,co-applicant,3,unknown,50,none,free,3,skilled,2,yes,yes,Risk
0_to_200,34,outstanding_credit,appliances,4174,500_to_1000,1_to_4,4,female,none,2,car_other,44,none,own,2,skilled,1,none,yes,No Risk
no_checking,30,prior_payments_delayed,radio_tv,8357,500_to_1000,1_to_4,3,male,co-applicant,4,unknown,44,none,free,2,skilled,1,yes,yes,Risk
no_checking,26,credits_paid_to_date,radio_tv,10639,less_100,4_to_7,5,female,none,5,unknown,42,none,free,2,management_self-employed,1,yes,yes,Risk
no_checking,28,prior_payments_delayed,appliances,6893,100_to_500,4_to_7,4,female,none,4,unknown,45,stores,own,2,unskilled,1,yes,yes,Risk
less_0,19,credits_paid_to_date,car_used,1286,less_100,less_1,2,female,none,3,car_other,23,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,22,credits_paid_to_date,car_new,6544,less_100,1_to_4,4,male,none,3,savings_insurance,32,none,own,2,skilled,1,none,yes,Risk
less_0,16,credits_paid_to_date,vacation,1216,less_100,less_1,2,male,none,3,real_estate,29,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,27,outstanding_credit,radio_tv,5287,500_to_1000,1_to_4,4,male,none,3,savings_insurance,40,none,free,2,management_self-employed,2,yes,yes,No Risk
no_checking,35,prior_payments_delayed,furniture,6385,500_to_1000,greater_7,5,male,co-applicant,3,savings_insurance,47,none,free,2,skilled,2,yes,yes,No Risk
no_checking,39,outstanding_credit,radio_tv,5846,unknown,greater_7,5,male,co-applicant,5,car_other,56,none,own,2,skilled,2,yes,yes,Risk
greater_200,19,credits_paid_to_date,radio_tv,3003,100_to_500,less_1,3,female,none,2,savings_insurance,43,none,own,2,skilled,1,yes,yes,No Risk
less_0,30,credits_paid_to_date,furniture,2975,less_100,4_to_7,2,female,none,3,savings_insurance,36,stores,own,2,skilled,1,none,yes,No Risk
less_0,13,all_credits_paid_back,furniture,250,less_100,less_1,2,female,none,1,savings_insurance,26,stores,rent,1,unskilled,1,none,yes,No Risk
less_0,13,prior_payments_delayed,furniture,2438,less_100,1_to_4,2,female,none,3,car_other,36,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,36,outstanding_credit,radio_tv,9880,unknown,greater_7,4,male,co-applicant,3,unknown,62,stores,free,3,unskilled,2,yes,yes,Risk
0_to_200,13,prior_payments_delayed,car_used,2279,less_100,4_to_7,2,female,none,2,savings_insurance,46,bank,own,2,unemployed,1,yes,yes,Risk
greater_200,29,outstanding_credit,radio_tv,6198,500_to_1000,1_to_4,4,female,guarantor,5,car_other,50,none,free,1,skilled,1,yes,yes,Risk
less_0,14,all_credits_paid_back,car_new,3364,100_to_500,less_1,1,female,none,2,car_other,29,stores,own,1,unskilled,2,none,yes,Risk
less_0,10,all_credits_paid_back,car_new,1601,less_100,less_1,1,male,none,2,savings_insurance,27,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,33,prior_payments_delayed,furniture,4553,unknown,4_to_7,4,female,none,4,savings_insurance,49,none,own,2,skilled,1,none,yes,Risk
less_0,21,prior_payments_delayed,radio_tv,2105,500_to_1000,1_to_4,3,female,none,3,car_other,33,stores,own,2,skilled,1,none,yes,No Risk
no_checking,24,prior_payments_delayed,radio_tv,6520,100_to_500,greater_7,5,male,none,5,car_other,45,none,free,3,management_self-employed,2,yes,yes,Risk
less_0,14,prior_payments_delayed,furniture,1072,less_100,1_to_4,1,male,none,3,savings_insurance,32,stores,own,1,skilled,1,none,yes,No Risk
no_checking,29,outstanding_credit,other,6558,greater_1000,greater_7,5,female,none,3,car_other,57,none,free,2,skilled,1,none,yes,No Risk
no_checking,32,outstanding_credit,repairs,5959,500_to_1000,greater_7,5,male,co-applicant,4,car_other,45,none,free,2,management_self-employed,1,yes,yes,Risk
no_checking,40,outstanding_credit,repairs,7183,greater_1000,greater_7,4,male,co-applicant,3,car_other,52,none,free,2,skilled,1,yes,yes,Risk
